EXPERIMENT_ID,SAMPLE_ID
ERP003471," ""ERX278737"""
ERP003471," ""ERX278739"""
ERP003471," ""ERX278740"""
SRP000244," ""SRX029428"""
SRP000244," ""SRX029429"""
SRP000244," ""SRX029430"""
SRP000244," ""SRX029431"""
SRP000244," ""SRX029432"""
SRP000253," ""SRX017684"""
SRP000401," ""SRX001872"""
SRP000401," ""SRX001873"""
SRP000401," ""SRX001874"""
SRP000401," ""SRX001875"""
SRP000401," ""SRX004863"""
SRP000401," ""SRX004864"""
SRP000401," ""SRX004865"""
SRP000401," ""SRX004866"""
SRP000401," ""SRX004867"""
SRP000401," ""SRX008144"""
SRP000401," ""SRX014007"""
SRP000401," ""SRX014008"""
SRP000401," ""SRX014009"""
SRP000401," ""SRX036881"""
SRP000401," ""SRX036967"""
SRP000401," ""SRX037186"""
SRP000401," ""SRX037197"""
SRP000401," ""SRX037288"""
SRP000401," ""SRX047446"""
SRP000401," ""SRX047469"""
SRP000401," ""SRX047653"""
SRP000401," ""SRX047787"""
SRP000401," ""SRX049268"""
SRP000401," ""SRX049269"""
SRP000401," ""SRX049270"""
SRP000401," ""SRX049745"""
SRP000401," ""SRX050630"""
SRP000401," ""SRX085111"""
SRP000401," ""SRX085112"""
SRP000401," ""SRX085217"""
SRP000401," ""SRX085218"""
SRP000401," ""SRX085219"""
SRP000401," ""SRX085220"""
SRP000401," ""SRX092371"""
SRP000401," ""SRX092372"""
SRP000401," ""SRX092477"""
SRP000401," ""SRX092478"""
SRP000401," ""SRX092479"""
SRP000401," ""SRX092480"""
SRP000401," ""SRX099901"""
SRP000401," ""SRX099902"""
SRP000401," ""SRX099907"""
SRP000401," ""SRX099908"""
SRP000401," ""SRX099915"""
SRP000401," ""SRX099973"""
SRP000401," ""SRX099974"""
SRP000401," ""SRX099975"""
SRP000401," ""SRX099976"""
SRP000401," ""SRX099977"""
SRP000401," ""SRX099978"""
SRP000401," ""SRX099979"""
SRP000401," ""SRX099980"""
SRP000401," ""SRX099981"""
SRP000401," ""SRX099982"""
SRP000401," ""SRX099983"""
SRP000401," ""SRX099984"""
SRP000401," ""SRX099985"""
SRP000401," ""SRX099986"""
SRP000401," ""SRX099987"""
SRP000401," ""SRX099988"""
SRP000401," ""SRX099989"""
SRP000401," ""SRX099990"""
SRP000401," ""SRX099991"""
SRP000401," ""SRX099992"""
SRP000401," ""SRX099993"""
SRP000401," ""SRX099994"""
SRP000401," ""SRX099995"""
SRP000401," ""SRX099996"""
SRP000401," ""SRX099997"""
SRP000401," ""SRX099998"""
SRP000401," ""SRX099999"""
SRP000401," ""SRX100000"""
SRP000401," ""SRX100001"""
SRP000401," ""SRX100002"""
SRP000401," ""SRX100004"""
SRP000401," ""SRX100005"""
SRP000401," ""SRX100006"""
SRP000401," ""SRX100631"""
SRP000401," ""SRX100819"""
SRP000401," ""SRX103649"""
SRP000401," ""SRX103650"""
SRP000401," ""SRX103651"""
SRP000401," ""SRX103652"""
SRP000401," ""SRX103653"""
SRP000401," ""SRX103669"""
SRP000401," ""SRX103670"""
SRP000401," ""SRX103671"""
SRP000401," ""SRX103672"""
SRP000401," ""SRX103673"""
SRP000401," ""SRX103677"""
SRP000401," ""SRX103986"""
SRP000401," ""SRX103987"""
SRP000401," ""SRX103988"""
SRP000401," ""SRX103989"""
SRP000401," ""SRX103990"""
SRP000401," ""SRX103991"""
SRP000401," ""SRX139566"""
SRP000401," ""SRX139591"""
SRP000401," ""SRX145444"""
SRP000401," ""SRX145447"""
SRP000401," ""SRX145480"""
SRP000401," ""SRX145486"""
SRP000401," ""SRX145660"""
SRP000401," ""SRX145661"""
SRP000401," ""SRX151597"""
SRP000401," ""SRX151607"""
SRP000401," ""SRX190364"""
SRP000401," ""SRX190369"""
SRP000401," ""SRX190370"""
SRP003492," ""SRX026728"""
SRP003492," ""SRX026729"""
SRP010374," ""SRX116361"""
SRP010374," ""SRX116363"""
SRP010374," ""SRX118116"""
SRP010374," ""SRX118117"""
SRP010374," ""SRX118118"""
SRP010374," ""SRX118119"""
SRP010374," ""SRX118120"""
SRP010374," ""SRX118124"""
SRP010374," ""SRX118125"""
SRP010374," ""SRX118126"""
SRP010374," ""SRX118127"""
SRP010374," ""SRX118128"""
SRP010374," ""SRX118139"""
SRP010374," ""SRX118140"""
SRP010374," ""SRX118143"""
SRP010374," ""SRX118144"""
SRP011038," ""SRX121891"""
SRP011038," ""SRX121893"""
SRP011038," ""SRX121895"""
SRP015688," ""SRX185637"""
SRP015688," ""SRX185639"""
SRP016006," ""SRX191947"""
SRP016006," ""SRX191948"""
SRP016006," ""SRX191949"""
SRP016006," ""SRX191950"""
SRP016006," ""SRX191951"""
SRP016006," ""SRX191952"""
SRP018033," ""SRX218380"""
SRP018033," ""SRX218381"""
SRP021083," ""SRX265354"""
SRP021083," ""SRX265355"""
SRP021083," ""SRX265356"""
SRP021083," ""SRX265360"""
SRP021083," ""SRX265361"""
SRP021083," ""SRX265362"""
SRP021083," ""SRX265366"""
SRP021083," ""SRX265367"""
SRP021083," ""SRX265368"""
SRP021083," ""SRX265372"""
SRP021083," ""SRX265373"""
SRP021462," ""SRX270953"""
SRP021462," ""SRX270955"""
SRP028602," ""SRX332741"""
SRP028602," ""SRX332744"""
SRP028602," ""SRX332747"""
SRP029448," ""SRX343161"""
SRP029448," ""SRX343162"""
SRP029448," ""SRX343163"""
SRP029448," ""SRX343164"""
SRP029448," ""SRX343165"""
SRP029448," ""SRX343167"""
SRP029448," ""SRX343168"""
SRP029448," ""SRX343169"""
SRP029448," ""SRX343170"""
SRP029448," ""SRX343171"""
SRP029448," ""SRX343172"""
SRP029448," ""SRX343173"""
SRP029448," ""SRX343174"""
SRP029448," ""SRX343175"""
SRP029448," ""SRX343176"""
SRP029448," ""SRX343178"""
SRP029448," ""SRX343179"""
SRP029448," ""SRX343180"""
SRP029448," ""SRX343181"""
SRP029448," ""SRX343182"""
SRP029448," ""SRX343184"""
SRP029448," ""SRX343185"""
SRP029448," ""SRX343186"""
SRP029448," ""SRX343187"""
SRP029448," ""SRX343189"""
SRP029448," ""SRX343191"""
SRP029448," ""SRX343192"""
SRP029448," ""SRX343194"""
SRP029448," ""SRX343195"""
SRP029448," ""SRX343196"""
SRP029448," ""SRX343197"""
SRP029448," ""SRX343198"""
SRP029448," ""SRX343199"""
SRP029448," ""SRX343200"""
SRP029448," ""SRX343201"""
SRP029448," ""SRX343202"""
SRP029448," ""SRX343203"""
SRP029448," ""SRX343205"""
SRP029448," ""SRX343206"""
SRP029448," ""SRX343207"""
SRP029448," ""SRX343208"""
SRP029448," ""SRX343210"""
SRP029448," ""SRX343211"""
SRP029448," ""SRX343212"""
SRP029448," ""SRX343213"""
SRP029448," ""SRX343214"""
SRP029448," ""SRX343215"""
SRP029448," ""SRX343216"""
SRP030526," ""SRX360655"""
SRP030526," ""SRX360860"""
SRP030526," ""SRX362654"""
SRP034522," ""SRX392693"""
SRP034522," ""SRX392694"""
SRP034522," ""SRX392695"""
SRP034522," ""SRX392696"""
SRP034522," ""SRX392697"""
SRP034522," ""SRX392698"""
SRP034522," ""SRX392699"""
SRP034522," ""SRX392700"""
SRP034522," ""SRX392701"""
SRP034522," ""SRX392702"""
SRP034522," ""SRX392703"""
SRP034522," ""SRX392704"""
SRP034522," ""SRX392705"""
SRP035507," ""SRX437640"""
SRP038704," ""SRX474206"""
SRP038704," ""SRX474207"""
SRP038704," ""SRX474208"""
SRP041708," ""SRX533796"""
SRP041708," ""SRX533797"""
SRP041708," ""SRX533798"""
SRP041708," ""SRX533799"""
SRP041708," ""SRX533800"""
SRP041708," ""SRX533801"""
SRP041708," ""SRX533807"""
SRP041708," ""SRX533808"""
SRP041708," ""SRX533809"""
SRP044752," ""SRX659943"""
SRP044752," ""SRX659945"""
SRP044752," ""SRX659947"""
SRP044752," ""SRX659949"""
SRP047464," ""SRX709649"""
SRP058023," ""SRX1019174"""
SRP058023," ""SRX1019175"""
SRP058023," ""SRX1019176"""
SRP058023," ""SRX1019177"""
SRP058023," ""SRX1019178"""
SRP058023," ""SRX1019179"""
SRP058023," ""SRX1019180"""
SRP058023," ""SRX1019181"""