Strain	Allele_Freq	Condition	Generation	Rep	Mean	
N2	0.556840077	D	1	1	0.54661131	
N2	0.561302682	A	1	1	0.542483	
N2	0.556012333	D	2	1	0.54473357	
N2	0.560353288	A	2	1	0.54886822	
N2	0.584735577	D	3	1	0.54168221	
N2	0.534203103	A	3	1	0.54634315	
N2	0.542116631	D	4	1	0.54603484	
N2	0.543645409	A	4	1	0.54186109	
N2	0.501813785	D	1	2	0.54661131	
N2	0.576681614	A	1	2	0.542483	
N2	0.505882353	D	2	2	0.54473357	
N2	0.526522593	A	2	2	0.54886822	
N2	0.533529412	D	3	2	0.54168221	
N2	0.507593925	A	3	2	0.54634315	
N2	0.553980825	D	4	2	0.54603484	
N2	0.515116942	A	4	2	0.54186109	
N2	0.67019774	D	1	3	0.54661131	
N2	0.56779661	A	1	3	0.542483	
N2	0.647121535	D	2	3	0.54473357	
N2	0.581036384	A	2	3	0.54886822	
N2	0.645833333	D	3	3	0.54168221	
N2	0.559811432	A	3	3	0.54634315	
N2	0.589521872	D	4	3	0.54603484	
N2	0.558371736	A	4	3	0.54186109	
N2	0.509852217	D	1	4	0.54661131	
N2	0.492727273	A	1	4	0.542483	
N2	0.511032657	D	2	4	0.54473357	
N2	0.562248996	A	2	4	0.54886822	
N2	0.51045701	D	3	4	0.54168221	
N2	0.567202029	A	3	4	0.54634315	
N2	0.530033638	D	4	4	0.54603484	
N2	0.545194508	A	4	4	0.54186109	
N2	0.561643836	D	1	5	0.54661131	
N2	0.510367893	A	1	5	0.542483	
N2	0.595744681	D	2	5	0.54473357	
N2	0.419499106	A	2	5	0.54886822	
N2	0.555263158	D	3	5	0.54168221	
N2	0.368010403	A	3	5	0.54634315	
N2	0.570947571	D	4	5	0.54603484	
N2	0.352178423	A	4	5	0.54186109	
N2	0.576175549	D	1	6	0.54661131	
N2	0.568941504	A	1	6	0.542483	
N2	0.56759348	D	2	6	0.54473357	
N2	0.565560821	A	2	6	0.54886822	
N2	0.622881356	D	3	6	0.54168221	
N2	0.584269663	A	3	6	0.54634315	
N2	0.617109145	D	4	6	0.54603484	
N2	0.564847271	A	4	6	0.54186109	
N2	0.531553398	D	1	7	0.54661131	
N2	0.463338534	A	1	7	0.542483	
N2	0.539090909	D	2	7	0.54473357	
N2	0.514792899	A	2	7	0.54886822	
N2	0.470420933	D	3	7	0.54168221	
N2	0.508087005	A	3	7	0.54634315	
N2	0.487128713	D	4	7	0.54603484	
N2	0.545824847	A	4	7	0.54186109	
N2	0.505691057	D	1	8	0.54661131	
N2	0.545519203	A	1	8	0.542483	
N2	0.513605442	D	2	8	0.54473357	
N2	0.539514624	A	2	8	0.54886822	
N2	0.506624606	D	3	8	0.54168221	
N2	0.609938734	A	3	8	0.54634315	
N2	0.493039443	D	4	8	0.54603484	
N2	0.600533808	A	4	8	0.54186109	
N2	0.540127389	D	1	9	0.54661131	
N2	0.559255632	A	1	9	0.542483	
N2	0.506459948	D	2	9	0.54473357	
N2	0.567111111	A	2	9	0.54886822	
N2	0.467344754	D	3	9	0.54168221	
N2	0.556516724	A	3	9	0.54634315	
N2	0.554901961	D	4	9	0.54603484	
N2	0.503123225	A	4	9	0.54186109	
N2	0.512218045	D	1	10	0.54661131	
N2	0.578899083	A	1	10	0.542483	
N2	0.504792332	D	2	10	0.54473357	
N2	0.65204236	A	2	10	0.54886822	
N2	0.519731943	D	3	10	0.54168221	
N2	0.667798529	A	3	10	0.54634315	
N2	0.521568627	D	4	10	0.54603484	
N2	0.689774697	A	4	10	0.54186109	
del	0.473843058	D	1	1	0.52023993	
del	0.507628294	A	1	1	0.42928847	
del	0.462882096	D	2	1	0.49426059	
del	0.31408776	A	2	1	0.32725529	
del	0.503436426	D	3	1	0.48920796	
del	0.284876905	A	3	1	0.26200047	
del	0.383561644	D	4	1	0.44461364	
del	0.083857442	A	4	1	0.10362735	
del	0.490150637	D	1	2	0.52023993	
del	0.475126904	A	1	2	0.42928847	
del	0.556016598	D	2	2	0.49426059	
del	0.335164835	A	2	2	0.32725529	
del	0.464447806	D	3	2	0.48920796	
del	0.270190896	A	3	2	0.26200047	
del	0.458204334	D	4	2	0.44461364	
del	0.136450382	A	4	2	0.10362735	
del	0.493475682	D	1	3	0.52023993	
del	0.455153949	A	1	3	0.42928847	
del	0.470072993	D	2	3	0.49426059	
del	0.324015248	A	2	3	0.32725529	
del	0.523622047	D	3	3	0.48920796	
del	0.293125811	A	3	3	0.26200047	
del	0.529051988	D	4	3	0.44461364	
del	0.159198113	A	4	3	0.10362735	
del	0.448148148	D	1	4	0.52023993	
del	0.378486056	A	1	4	0.42928847	
del	0.452741021	D	2	4	0.49426059	
del	0.337453646	A	2	4	0.32725529	
del	0.474530831	D	3	4	0.48920796	
del	0.286318759	A	3	4	0.26200047	
del	0.474409449	D	4	4	0.44461364	
del	0.11884058	A	4	4	0.10362735	
del	0.556509299	D	1	5	0.52023993	
del	0.423076923	A	1	5	0.42928847	
del	0.528301887	D	2	5	0.49426059	
del	0.492753623	A	2	5	0.32725529	
del	0.462184874	D	3	5	0.48920796	
del	0.319205298	A	3	5	0.26200047	
del	0.431211499	D	4	5	0.44461364	
del	0.085205993	A	4	5	0.10362735	
del	0.492433062	D	1	6	0.52023993	
del	0.461343473	A	1	6	0.42928847	
del	0.495548961	D	2	6	0.49426059	
del	0.30334728	A	2	6	0.32725529	
del	0.507025761	D	3	6	0.48920796	
del	0.16227608	A	3	6	0.26200047	
del	0.391242938	D	4	6	0.44461364	
del	0.057866184	A	4	6	0.10362735	
del	0.488017429	D	1	7	0.52023993	
del	0.508196721	A	1	7	0.42928847	
del	0.403400309	A	2	7	0.32725529	
del	0.195215311	A	3	7	0.26200047	
del	0.06988189	A	4	7	0.10362735	
del	0.541049798	D	1	8	0.52023993	
del	0.341007194	A	1	8	0.42928847	
del	0.131364562	A	2	8	0.32725529	
del	0.580921758	D	1	9	0.52023993	
del	0.422552664	A	1	9	0.42928847	
del	0.252356021	A	2	9	0.32725529	
del	0.298969072	A	3	9	0.26200047	
del	0.145146089	A	4	9	0.10362735	
del	0.637850467	D	1	10	0.52023993	
del	0.3203125	A	1	10	0.42928847	
del	0.378609626	A	2	10	0.32725529	
del	0.247826087	A	3	10	0.26200047	
del	0.076199436	A	4	10	0.10362735	
F200Y	0.45823389	D	1	1	0.45294435	
F200Y	0.419753086	A	1	1	0.43202391	
F200Y	0.526990553	D	2	1	0.46070674	
F200Y	0.381775334	A	2	1	0.33622237	
F200Y	0.494959677	D	3	1	0.47116255	
F200Y	0.196958726	A	3	1	0.19627471	
F200Y	0.505016722	D	4	1	0.46162105	
F200Y	0.0625323	A	4	1	0.09451271	
F200Y	0.43559719	D	1	2	0.45294435	
F200Y	0.43812045	A	1	2	0.43202391	
F200Y	0.438148444	D	2	2	0.46070674	
F200Y	0.313419913	A	2	2	0.33622237	
F200Y	0.391464312	D	3	2	0.47116255	
F200Y	0.144023756	A	3	2	0.19627471	
F200Y	0.396249244	D	4	2	0.46162105	
F200Y	0.068256579	A	4	2	0.09451271	
F200Y	0.426144756	D	1	3	0.45294435	
F200Y	0.425772419	A	1	3	0.43202391	
F200Y	0.314814815	D	2	3	0.46070674	
F200Y	0.262569832	A	2	3	0.33622237	
F200Y	0.414052698	D	3	3	0.47116255	
F200Y	0.184134615	A	3	3	0.19627471	
F200Y	0.429223744	D	4	3	0.46162105	
F200Y	0.076246334	A	4	3	0.09451271	
F200Y	0.462191358	D	1	4	0.45294435	
F200Y	0.395362319	A	1	4	0.43202391	
F200Y	0.506281407	D	2	4	0.46070674	
F200Y	0.404895105	A	2	4	0.33622237	
F200Y	0.549289712	D	3	4	0.47116255	
F200Y	0.084645669	A	3	4	0.19627471	
F200Y	0.514040115	D	4	4	0.46162105	
F200Y	0.035597381	A	4	4	0.09451271	
F200Y	0.423789174	D	1	5	0.45294435	
F200Y	0.52288072	A	1	5	0.43202391	
F200Y	0.440469834	D	2	5	0.46070674	
F200Y	0.346808511	A	2	5	0.33622237	
F200Y	0.550756901	D	3	5	0.47116255	
F200Y	0.216409037	A	3	5	0.19627471	
F200Y	0.546050237	D	4	5	0.46162105	
F200Y	0.076377523	A	4	5	0.09451271	
F200Y	0.481792717	D	1	6	0.45294435	
F200Y	0.396414343	A	1	6	0.43202391	
F200Y	0.422194668	D	2	6	0.46070674	
F200Y	0.302491103	A	2	6	0.33622237	
F200Y	0.440213761	D	3	6	0.47116255	
F200Y	0.20074742	A	3	6	0.19627471	
F200Y	0.372923077	D	4	6	0.46162105	
F200Y	0.099003736	A	4	6	0.09451271	
F200Y	0.443072702	D	1	7	0.45294435	
F200Y	0.461420932	A	1	7	0.43202391	
F200Y	0.460709759	D	2	7	0.46070674	
F200Y	0.332580463	A	2	7	0.33622237	
F200Y	0.406440866	D	3	7	0.47116255	
F200Y	0.233264676	A	3	7	0.19627471	
F200Y	0.380371661	D	4	7	0.46162105	
F200Y	0.133571855	A	4	7	0.09451271	
F200Y	0.509298999	D	1	8	0.45294435	
F200Y	0.445068664	A	1	8	0.43202391	
F200Y	0.51884984	D	2	8	0.46070674	
F200Y	0.414400806	A	2	8	0.33622237	
F200Y	0.455757576	D	3	8	0.47116255	
F200Y	0.280288147	A	3	8	0.19627471	
F200Y	0.457390467	D	4	8	0.46162105	
F200Y	0.289661596	A	4	8	0.09451271	
F200Y	0.417443409	D	1	9	0.45294435	
F200Y	0.39292365	A	1	9	0.43202391	
F200Y	0.464096184	D	2	9	0.46070674	
F200Y	0.330885529	A	2	9	0.33622237	
F200Y	0.51074896	D	3	9	0.47116255	
F200Y	0.118041237	A	3	9	0.19627471	
F200Y	0.535433071	D	4	9	0.46162105	
F200Y	0.059896866	A	4	9	0.09451271	
F200Y	0.471879287	D	1	10	0.45294435	
F200Y	0.422522523	A	1	10	0.43202391	
F200Y	0.514511873	D	2	10	0.46070674	
F200Y	0.272397094	A	2	10	0.33622237	
F200Y	0.497941083	D	3	10	0.47116255	
F200Y	0.304233795	A	3	10	0.19627471	
F200Y	0.479512195	D	4	10	0.46162105	
F200Y	0.043982896	A	4	10	0.09451271	
E198V	0.519731943	D	1	1	0.51041185	
E198V	0.511950655	A	1	1	0.43043455	
E198V	0.588070829	D	2	1	0.577196321	
E198V	0.458544839	A	2	1	0.410433702	
E198V	0.573940847	D	3	1	0.606421407	
E198V	0.346745562	A	3	1	0.310856525	
E198V	0.644471594	D	4	1	0.633052588	
E198V	0.196593329	A	4	1	0.174019682	
E198V	0.525325615	D	1	2	0.51041185	
E198V	0.329698525	A	1	2	0.43043455	
E198V	0.617713853	D	2	2	0.577196321	
E198V	0.446320869	A	2	2	0.410433702	
E198V	0.600307456	D	3	2	0.606421407	
E198V	0.446486486	A	3	2	0.310856525	
E198V	0.64357017	D	4	2	0.633052588	
E198V	0.159247649	A	4	2	0.174019682	
E198V	0.542491269	D	1	3	0.51041185	
E198V	0.411407767	A	1	3	0.43043455	
E198V	0.553807947	D	2	3	0.577196321	
E198V	0.259402122	A	2	3	0.410433702	
E198V	0.68618267	D	3	3	0.606421407	
E198V	0.27482679	A	3	3	0.310856525	
E198V	0.710676835	D	4	3	0.633052588	
E198V	0.251433251	A	4	3	0.174019682	
E198V	0.472222222	D	1	4	0.51041185	
E198V	0.477713686	A	1	4	0.43043455	
E198V	0.512569832	D	2	4	0.577196321	
E198V	0.515151515	A	2	4	0.410433702	
E198V	0.574819401	D	3	4	0.606421407	
E198V	0.375088968	A	3	4	0.310856525	
E198V	0.587417703	D	4	4	0.633052588	
E198V	0.22732769	A	4	4	0.174019682	
E198V	0.494825037	D	1	5	0.51041185	
E198V	0.473526474	A	1	5	0.43043455	
E198V	0.597107438	D	2	5	0.577196321	
E198V	0.336895388	A	2	5	0.410433702	
E198V	0.615845233	D	3	5	0.606421407	
E198V	0.128149748	A	3	5	0.310856525	
E198V	0.657185185	D	4	5	0.633052588	
E198V	0.070299728	A	4	5	0.174019682	
E198V	0.537075537	D	1	6	0.51041185	
E198V	0.375116063	A	1	6	0.43043455	
E198V	0.531531532	D	2	6	0.577196321	
E198V	0.35936927	A	2	6	0.410433702	
E198V	0.625595238	D	3	6	0.606421407	
E198V	0.329508785	A	3	6	0.310856525	
E198V	0.652345958	D	4	6	0.633052588	
E198V	0.150027886	A	4	6	0.174019682	
E198V	0.483870968	D	1	7	0.51041185	
E198V	0.430067776	A	1	7	0.43043455	
E198V	0.577075099	D	2	7	0.577196321	
E198V	0.549222798	A	2	7	0.410433702	
E198V	0.607577973	D	3	7	0.606421407	
E198V	0.416145537	A	3	7	0.310856525	
E198V	0.638080846	D	4	7	0.633052588	
E198V	0.163723917	A	4	7	0.174019682	
E198V	0.492625369	D	1	8	0.51041185	
E198V	0.41903503	A	1	8	0.43043455	
E198V	0.648757555	D	2	8	0.577196321	
E198V	0.461498439	A	2	8	0.410433702	
E198V	0.657507987	D	3	8	0.606421407	
E198V	0.199700449	A	3	8	0.310856525	
E198V	0.674181428	D	4	8	0.633052588	
E198V	0.074527253	A	4	8	0.174019682	
E198V	0.486625514	D	1	9	0.51041185	
E198V	0.424974824	A	1	9	0.43043455	
E198V	0.560311284	D	2	9	0.577196321	
E198V	0.403186275	A	2	9	0.410433702	
E198V	0.553217822	D	3	9	0.606421407	
E198V	0.313075506	A	3	9	0.310856525	
E198V	0.515609265	D	4	9	0.633052588	
E198V	0.257403189	A	4	9	0.174019682	
E198V	0.54932503	D	1	10	0.51041185	
E198V	0.4508547	A	1	10	0.43043455	
E198V	0.58501784	D	2	10	0.577196321	
E198V	0.31474551	A	2	10	0.410433702	
E198V	0.56921944	D	3	10	0.606421407	
E198V	0.27883742	A	3	10	0.310856525	
E198V	0.6069869	D	4	10	0.633052588	
E198V	0.18961293	A	4	10	0.174019682	
E198A	0.49628713	D	1	1	0.485350153	
E198A	0.47734734	A	1	1	0.435404437	
E198A	0.55221239	D	2	1	0.525341087	
E198A	0.38266385	A	2	1	0.349983191	
E198A	0.61316872	D	3	1	0.534940391	
E198A	0.27491639	A	3	1	0.267928526	
E198A	0.63651591	D	4	1	0.521502141	
E198A	0.19791123	A	4	1	0.151820604	
E198A	0.494520548	D	1	2	0.485350153	
E198A	0.407142857	A	1	2	0.435404437	
E198A	0.531161473	D	2	2	0.525341087	
E198A	0.429598562	A	2	2	0.349983191	
E198A	0.506547931	D	3	2	0.534940391	
E198A	0.272513243	A	3	2	0.267928526	
E198A	0.498469388	D	4	2	0.521502141	
E198A	0.156565657	A	4	2	0.151820604	
E198A	0.45467033	D	1	3	0.485350153	
E198A	0.405278592	A	1	3	0.435404437	
E198A	0.467283543	D	2	3	0.525341087	
E198A	0.348066298	A	2	3	0.349983191	
E198A	0.447477254	D	3	3	0.534940391	
E198A	0.147912886	A	3	3	0.267928526	
E198A	0.443462075	D	4	3	0.521502141	
E198A	0.070680628	A	4	3	0.151820604	
E198A	0.486176669	D	1	4	0.485350153	
E198A	0.424840395	A	1	4	0.435404437	
E198A	0.534658512	D	2	4	0.525341087	
E198A	0.369593709	A	2	4	0.349983191	
E198A	0.563842482	D	3	4	0.534940391	
E198A	0.259029345	A	3	4	0.267928526	
E198A	0.594582593	D	4	4	0.521502141	
E198A	0.227727075	A	4	4	0.151820604	
E198A	0.54954955	D	1	5	0.485350153	
E198A	0.441608662	A	1	5	0.435404437	
E198A	0.56840514	D	2	5	0.525341087	
E198A	0.355256344	A	2	5	0.349983191	
E198A	0.53252551	D	3	5	0.534940391	
E198A	0.259310345	A	3	5	0.267928526	
E198A	0.447378952	D	4	5	0.521502141	
E198A	0.155658393	A	4	5	0.151820604	
E198A	0.466185161	D	1	6	0.485350153	
E198A	0.475315729	A	1	6	0.435404437	
E198A	0.525090909	D	2	6	0.525341087	
E198A	0.337973032	A	2	6	0.349983191	
E198A	0.549333333	D	3	6	0.534940391	
E198A	0.204681873	A	3	6	0.267928526	
E198A	0.525190114	D	4	6	0.521502141	
E198A	0.091717621	A	4	6	0.151820604	
E198A	0.479198767	D	1	7	0.485350153	
E198A	0.410062893	A	1	7	0.435404437	
E198A	0.502860776	D	2	7	0.525341087	
E198A	0.318181818	A	2	7	0.349983191	
E198A	0.541962422	D	3	7	0.534940391	
E198A	0.289265537	A	3	7	0.267928526	
E198A	0.509783184	D	4	7	0.521502141	
E198A	0.126795443	A	4	7	0.151820604	
E198A	0.495121951	D	1	8	0.485350153	
E198A	0.449929478	A	1	8	0.435404437	
E198A	0.538904899	D	2	8	0.525341087	
E198A	0.237853517	A	2	8	0.349983191	
E198A	0.597014925	D	3	8	0.534940391	
E198A	0.266707541	A	3	8	0.267928526	
E198A	0.54704797	D	4	8	0.521502141	
E198A	0.156183746	A	4	8	0.151820604	
E198A	0.465934066	D	1	9	0.485350153	
E198A	0.428194993	A	1	9	0.435404437	
E198A	0.51579552	D	2	9	0.525341087	
E198A	0.228926353	A	2	9	0.349983191	
E198A	0.527818808	D	3	9	0.534940391	
E198A	0.264845606	A	3	9	0.267928526	
E198A	0.509708738	D	4	9	0.521502141	
E198A	0.12285883	A	4	9	0.151820604	
E198A	0.46585736	D	1	10	0.485350153	
E198A	0.434323432	A	1	10	0.435404437	
E198A	0.51703771	D	2	10	0.525341087	
E198A	0.491718427	A	2	10	0.349983191	
E198A	0.469712526	D	3	10	0.534940391	
E198A	0.440102498	A	3	10	0.267928526	
E198A	0.502882483	D	4	10	0.521502141	
E198A	0.212107419	A	4	10	0.151820604	
F167Y	0.3469167	D	1	1	0.38836083	
F167Y	0.35679374	A	1	1	0.388965289	
F167Y	0.32926829	D	2	1	0.391866561	
F167Y	0.28668942	A	2	1	0.343367275	
F167Y	0.33	D	3	1	0.374355138	
F167Y	0.09785203	A	3	1	0.208120579	
F167Y	0.29839043	D	4	1	0.37282893	
F167Y	0.36936937	D	1	2	0.38836083	
F167Y	0.43429844	A	1	2	0.388965289	
F167Y	0.40040513	D	2	2	0.391866561	
F167Y	0.42109705	A	2	2	0.343367275	
F167Y	0.38041543	D	3	2	0.374355138	
F167Y	0.27822581	A	3	2	0.208120579	
F167Y	0.38249211	D	4	2	0.37282893	
F167Y	0.09804928	A	4	2	0.141951474	
F167Y	0.41862653	D	1	3	0.38836083	
F167Y	0.38938053	A	1	3	0.388965289	
F167Y	0.43286573	D	2	3	0.391866561	
F167Y	0.32688766	A	2	3	0.343367275	
F167Y	0.44538653	D	3	3	0.374355138	
F167Y	0.25036496	A	3	3	0.208120579	
F167Y	0.46222791	D	4	3	0.37282893	
F167Y	0.14590747	A	4	3	0.141951474	
F167Y	0.37118902	D	1	4	0.38836083	
F167Y	0.38888889	A	1	4	0.388965289	
F167Y	0.38825884	D	2	4	0.391866561	
F167Y	0.2850062	A	2	4	0.343367275	
F167Y	0.39537507	D	3	4	0.374355138	
F167Y	0.17673267	A	3	4	0.208120579	
F167Y	0.42171304	D	4	4	0.37282893	
F167Y	0.06396064	A	4	4	0.141951474	
F167Y	0.39243028	D	1	5	0.38836083	
F167Y	0.38263666	A	1	5	0.388965289	
F167Y	0.44864479	D	2	5	0.391866561	
F167Y	0.38677918	A	2	5	0.343367275	
F167Y	0.39180672	D	3	5	0.374355138	
F167Y	0.24683328	A	3	5	0.208120579	
F167Y	0.36182903	D	4	5	0.37282893	
F167Y	0.12327548	A	4	5	0.141951474	
F167Y	0.34968354	D	1	6	0.38836083	
F167Y	0.4497992	A	1	6	0.388965289	
F167Y	0.32185886	D	2	6	0.391866561	
F167Y	0.31662689	A	2	6	0.343367275	
F167Y	0.26790451	D	3	6	0.374355138	
F167Y	0.10868461	A	3	6	0.208120579	
F167Y	0.26097133	D	4	6	0.37282893	
F167Y	0.04390847	A	4	6	0.141951474	
F167Y	0.36908881	D	1	7	0.38836083	
F167Y	0.37122558	A	1	7	0.388965289	
F167Y	0.34092758	D	2	7	0.391866561	
F167Y	0.26582278	A	2	7	0.343367275	
F167Y	0.36865204	D	3	7	0.374355138	
F167Y	0.15651202	A	3	7	0.208120579	
F167Y	0.36716172	D	4	7	0.37282893	
F167Y	0.0898138	A	4	7	0.141951474	
F167Y	0.44277108	D	1	8	0.38836083	
F167Y	0.34416826	A	1	8	0.388965289	
F167Y	0.48066298	D	2	8	0.391866561	
F167Y	0.4122191	A	2	8	0.343367275	
F167Y	0.42222222	D	3	8	0.374355138	
F167Y	0.21997389	A	3	8	0.208120579	
F167Y	0.40884956	D	4	8	0.37282893	
F167Y	0.13636364	A	4	8	0.141951474	
F167Y	0.43012212	D	1	9	0.38836083	
F167Y	0.40104849	A	1	9	0.388965289	
F167Y	0.42684157	D	2	9	0.391866561	
F167Y	0.24247227	A	2	9	0.343367275	
F167Y	0.406639	D	3	9	0.374355138	
F167Y	0.22210066	A	3	9	0.208120579	
F167Y	0.4180758	D	4	9	0.37282893	
F167Y	0.10320902	A	4	9	0.141951474	
F167Y	0.39341085	D	1	10	0.38836083	
F167Y	0.3714131	A	1	10	0.388965289	
F167Y	0.34893184	D	2	10	0.391866561	
F167Y	0.4900722	A	2	10	0.343367275	
F167Y	0.33514986	D	3	10	0.374355138	
F167Y	0.32392586	A	3	10	0.208120579	
F167Y	0.34657837	D	4	10	0.37282893	
F167Y	0.24565757	A	4	10	0.141951474	
E198L	0.536290323	D	1	1	0.519312901	
E198L	0.416666667	A	1	1	0.431790207	
E198L	0.552552553	D	2	1	0.523246971	
E198L	0.350328947	A	2	1	0.300986394	
E198L	0.530042918	D	3	1	0.513241457	
E198L	0.52125	D	4	1	0.266627588	
E198L	0.121297602	A	4	1	0.385814992	
E198L	0.545006165	D	1	2	0.519312901	
E198L	0.511830635	A	1	2	0.431790207	
E198L	0.545691906	D	2	2	0.523246971	
E198L	0.414852753	A	2	2	0.300986394	
E198L	0.568319226	D	3	2	0.513241457	
E198L	0.5859375	D	4	2	0.266627588	
E198L	0.120845921	A	4	2	0.385814992	
E198L	0.541601256	D	1	3	0.519312901	
E198L	0.376642336	A	1	3	0.431790207	
E198L	0.493506494	D	2	3	0.523246971	
E198L	0.302980132	A	2	3	0.300986394	
E198L	0.490963855	D	3	3	0.513241457	
E198L	0.21025641	A	3	3	0.266627588	
E198L	0.094551282	A	4	3	0.385814992	
E198L	0.457796853	D	1	4	0.519312901	
E198L	0.390243902	A	1	4	0.431790207	
E198L	0.448471121	D	2	4	0.523246971	
E198L	0.235039654	A	2	4	0.300986394	
E198L	0.467505241	D	3	4	0.513241457	
E198L	0.14793578	A	3	4	0.266627588	
E198L	0.490974729	D	4	4	0.385814992	
E198L	0.51497006	D	1	5	0.519312901	
E198L	0.421052632	A	1	5	0.431790207	
E198L	0.553008596	D	2	5	0.523246971	
E198L	0.305410122	A	2	5	0.300986394	
E198L	0.554557125	D	3	5	0.513241457	
E198L	0.261417323	A	3	5	0.266627588	
E198L	0.550072569	D	4	5	0.385814992	
E198L	0.532745592	D	1	6	0.519312901	
E198L	0.438478747	A	1	6	0.431790207	
E198L	0.51509434	D	2	6	0.523246971	
E198L	0.333662389	A	2	6	0.300986394	
E198L	0.519559902	D	3	6	0.513241457	
E198L	0.235971223	A	3	6	0.266627588	
E198L	0.485213582	D	4	6	0.385814992	
E198L	0.104357798	A	4	6	0.353161498	
E198L	0.497455471	D	1	7	0.519312901	
E198L	0.511848341	A	1	7	0.431790207	
E198L	0.520149953	D	2	7	0.523246971	
E198L	0.28590604	A	2	7	0.300986394	
E198L	0.516152717	D	3	7	0.513241457	
E198L	0.149441341	A	3	7	0.266627588	
E198L	0.521126761	D	4	7	0.385814992	
E198L	0.073657928	A	4	7	0.353161498	
E198L	0.504458599	D	1	8	0.519312901	
E198L	0.374513619	A	1	8	0.431790207	
E198L	0.490532011	D	2	8	0.523246971	
E198L	0.212378641	A	2	8	0.300986394	
E198L	0.401774398	D	3	8	0.513241457	
E198L	0.178240741	A	3	8	0.266627588	
E198L	0.378514056	D	4	8	0.385814992	
E198L	0.560375147	D	1	9	0.519312901	
E198L	0.490588235	A	1	9	0.431790207	
E198L	0.631229236	D	2	9	0.523246971	
E198L	0.286378429	A	2	9	0.300986394	
E198L	0.588873813	D	3	9	0.513241457	
E198L	0.219337017	A	3	9	0.266627588	
E198L	0.58479021	D	4	9	0.385814992	
E198L	0.147727273	A	4	9	0.353161498	
E198L	0.502429543	D	1	10	0.519312901	
E198L	0.386036961	A	1	10	0.431790207	
E198L	0.482233503	D	2	10	0.523246971	
E198L	0.282926829	A	2	10	0.300986394	
E198L	0.494665373	D	3	10	0.513241457	
E198L	0.15648855	A	3	10	0.266627588	
E198L	0.510763209	D	4	10	0.385814992	
E198L	0.053376906	A	4	10	0.353161498	